class,precision,recall,mAP50,mAP50-95
all,0.9229368658022041,0.878831354380423,0.9437708932191887,0.7645049344505652
hitam,0.8925212196323307,0.9256198347107438,0.953378226172005,0.7836983025616286
hitam-sebagian,0.8894099242323045,0.7706422018348624,0.8939724057377781,0.7146914190369937
kulit-kopi-kecil,0.9868794535419776,0.940232026595663,0.9839620477477833,0.7951250817530731
